漢字		かな			英語
日記			にっき			Diary
銀行			ぎんこう			Bank
~回			〜かい			~time
夕方			ゆうがた			evening
黒い			くろい			black
用事			ようじ			a thing to take care of
週末			しゅうまつ			weekend
待つ			まつ			to wait
残業			ざんぎょう			overtime work
残す			のこす			to leave
駅			えき			station
駅員			えきいん			station attendant
一番			いちばん			the first
説明する			せつめいする			to explain
小説			しょうせつ			novel
案内る			あんないする			to guide
忘れる			わすれる			to forget
守る			まもる			to keep (a promise)
留守			るす			absent; not at home
お守り			おまもり			charm
